,인덱스,재단,장학종류,근로장학,기숙사/주거지원,기타장학,대출지원,연수/연구장학,장학금,취업연계/산학장학,선발대상,고등학생,기타/일반,대학생,대학원생,전문대생,중학생,청년,초등학생,선발 인원(명),선발인원규모,장학혜택(만원),장학혜택규모,조회 수
0,5858,충청남도인재육성재단,"장학금, 기타장학",0,0,1,0,0,1,0,"초등학생, 중학생, 고등학생, 대학생",1,0,1,0,0,1,0,1,14,소,100,소,187
1,5859,당진시,대출지원,0,0,0,1,0,0,0,"대학생, 전문대생",0,0,1,0,1,0,0,0,0,인원미정,0,금액미정,82
2,5860,안산시,장학금,0,0,0,0,0,1,0,"대학생, 전문대생",0,0,1,0,1,0,0,0,0,인원미정,100,소,213
3,5861,평창장학회,장학금,0,0,0,0,0,1,0,"대학생, 전문대생",0,0,1,0,1,0,0,0,530,대,0,금액미정,463
4,5862,강원도일자리재단,기타장학,0,0,1,0,0,0,0,"청년, 기타/일반",0,1,0,0,0,0,1,0,0,인원미정,15,소,132
5,5863,횡성인재육성장학회,장학금,0,0,0,0,0,1,0,"대학생, 전문대생",0,0,1,0,1,0,0,0,0,인원미정,150,소,74
6,5864,안동시,대출지원,0,0,0,1,0,0,0,"대학생, 전문대생",0,0,1,0,1,0,0,0,0,인원미정,0,금액미정,45
7,5865,아이들과미래재단,장학금,0,0,0,0,0,1,0,"초등학생, 중학생, 고등학생",1,0,0,0,0,1,0,1,0,인원미정,0,금액미정,121
8,5866,전기공사공제조합장학회,장학금,0,0,0,0,0,1,0,대학생,0,0,1,0,0,0,0,0,99,소,500,대,598
9,5867,재단법인 빛이나,기타장학,0,0,1,0,0,0,0,"청년, 기타/일반",0,1,0,0,0,0,1,0,2,소,500,대,497
10,5868,LG유플러스,"장학금, 취업연계/산학장학",0,0,0,0,0,1,1,대학원생,0,0,0,1,0,0,0,0,0,인원미정,0,금액미정,1
11,5869,STX장학재단,장학금,0,0,0,0,0,1,0,대학생,0,0,1,0,0,0,0,0,20,소,1200,대,4
12,5870,경산시,대출지원,0,0,0,1,0,0,0,"대학생, 전문대생",0,0,1,0,1,0,0,0,0,인원미정,0,금액미정,146
13,5871,강원인재육성평생교육진흥원,장학금,0,0,0,0,0,1,0,"대학생, 전문대생",0,0,1,0,1,0,0,0,219,중,50,소,184
14,5872,한국산림복지진흥원,장학금,0,0,0,0,0,1,0,"고등학생, 대학생",1,0,1,0,0,0,0,0,99,소,300,중,385
15,5873,한국장학재단,대출지원,0,0,0,1,0,0,0,"대학생, 전문대생, 대학원생",0,0,1,1,1,0,0,0,0,인원미정,0,금액미정,295
16,5874,한국외대 재직동문교수회,장학금,0,0,0,0,0,1,0,"대학생, 대학원생",0,0,1,1,0,0,0,0,6,소,150,소,378
17,5875,안성시,"취업연계/산학장학, 근로장학",1,0,0,0,0,0,1,"청년, 기타/일반",0,1,0,0,0,0,1,0,9,소,225,중,203
18,5876,고양시,"취업연계/산학장학, 근로장학",1,0,0,0,0,0,1,기타/일반,0,1,0,0,0,0,0,0,231,중,200,중,73
19,5877,충청남도인재육성재단,장학금,0,0,0,0,0,1,0,"대학생, 전문대생",0,0,1,0,1,0,0,0,10,소,100,소,867
20,5878,덕신하우징,장학금,0,0,0,0,0,1,0,대학생,0,0,1,0,0,0,0,0,0,인원미정,0,금액미정,119
21,5879,숲과나눔,"장학금, 연수/연구장학",0,0,0,0,1,1,0,대학원생,0,0,0,1,0,0,0,0,0,인원미정,120,소,1
22,5880,경원장학재단,장학금,0,0,0,0,0,1,0,"고등학생, 대학생",1,0,1,0,0,0,0,0,35,소,400,중,1
23,5881,원장재단,장학금,0,0,0,0,0,1,0,"대학생, 대학원생",0,0,1,1,0,0,0,0,15,소,300,중,1
24,5882,녹산학술장학재단,장학금,0,0,0,0,0,1,0,대학생,0,0,1,0,0,0,0,0,2,소,0,금액미정,927
25,5883,남양주다산장애인자립생활센터,장학금,0,0,0,0,0,1,0,"고등학생, 대학생, 전문대생",1,0,1,0,1,0,0,0,5,소,100,소,151
26,5884,관정이종환교육재단,장학금,0,0,0,0,0,1,0,"대학생, 전문대생",0,0,1,0,1,0,0,0,0,인원미정,2200,대,1
27,5885,고양시,장학금,0,0,0,0,0,1,0,대학생,0,0,1,0,0,0,0,0,0,인원미정,100,소,275
28,5886,파주시,대출지원,0,0,0,1,0,0,0,"청년, 기타/일반",0,1,0,0,0,0,1,0,0,인원미정,0,금액미정,77
29,5887,경기도,기타장학,0,0,1,0,0,0,0,기타/일반,0,1,0,0,0,0,0,0,0,인원미정,100,소,1
30,5888,한국사회적기업진흥원,기타장학,0,0,1,0,0,0,0,기타/일반,0,1,0,0,0,0,0,0,750,대,0,금액미정,318
31,5889,국방부,기타장학,0,0,1,0,0,0,0,기타/일반,0,1,0,0,0,0,0,0,0,인원미정,0,금액미정,386
32,5890,포니정재단,기숙사/주거지원,0,1,0,0,0,0,0,"대학생, 전문대생",0,0,1,0,1,0,0,0,2,소,0,금액미정,1
33,5891,인제군,장학금,0,0,0,0,0,1,0,"중학생, 고등학생, 대학생",1,0,1,0,0,1,0,0,0,인원미정,150,소,49
34,5892,전북창조경제혁신센터,근로장학,1,0,0,0,0,0,0,"대학생, 전문대생",0,0,1,0,1,0,0,0,154,중,300,중,313
35,5893,경희대학교 국제캠퍼스,장학금,0,0,0,0,0,1,0,대학생,0,0,1,0,0,0,0,0,0,인원미정,0,금액미정,192
36,5894,신한대학교 청년일자리센터,기타장학,0,0,1,0,0,0,0,청년,0,0,0,0,0,0,1,0,500,대,10,소,46
37,5895,동두천시,기타장학,0,0,1,0,0,0,0,기타/일반,0,1,0,0,0,0,0,0,0,인원미정,150,소,49
38,5896,세종테크노파크,기타장학,0,0,1,0,0,0,0,"청년, 기타/일반",0,1,0,0,0,0,1,0,99,소,300,중,75
